Время,Теория,,,Материалы,,,,,Практика,,
,,,,,,,,,,,
,,,,,,,,,,,
неделя 8-12,Защита работ,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Часть 2,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,LoRA,,,,,,,,,,
,,,,,,,,,,,
,Docker,,,,,,,,,,
,GRPC,,,,,,,https://www.youtube.com/watch?v=HcZoEl2i5u4&list=PL-KRBoUl__Zc5dYuItKv-64Wbfrq5tZkZ&index=1,,,
,ONNX ,,,,,,,,,,
,TensorRT,,,,,,,,,,
,Подбор гиперпараметров Optuna,,,,,,,,,,
,Multi GPU,,,,,,,,,,
,Triton Inference Server,,,,Serving a Torch-TensorRT model with Triton,,,,,,
,RayServe,,,,https://docs.ray.io/en/latest/serve/tutorials/triton-server-integration.html,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Источники информации,,,,,,,,,,,
,,,,,,,,,,,
Нейронные сети и их применение в научных исследованиях | Открытые видеолекции учебных курсов МГУ,,,,,,,,,,,
https://github.com/EPC-MSU/EduNet-lectures,,,,,,,,,,,
https://github.com/Gan4x4/ml_snippets,,,,,,,,,,,
"НИС ""Технологии компьютерного зрения"" 2022 - YouTube",,,,,,,,,,,
https://disk.yandex.ru/d/WZDlNAPIFrL-bQ,,,,,,,,,,,
Учебник по машинному обучению,,,,,,,,,,,
Deep Learning for Computer Vision from U. of Michigan Fall 2020 - YouTube,,,,,,,,,,,
CS231n Convolutional Neural Networks for Visual Recognition,,,,,,,,,,,
"Николенко С.И., Кадурин А.А., Архангельская Е.О. - Глубокое обучение. Погружение в мир нейронных сетей-Питер (2018).pdf",,,,,,,,,,,
